Key,Strong_Win,Count,Win_Prob
101,68,136,0.5
103,84,136,0.6176470588235294
105,85,136,0.625
107,89,136,0.6544117647058824
109,108,136,0.7941176470588235
111,115,136,0.8455882352941176
113,128,136,0.9411764705882353
115,135,136,0.9926470588235294
201,48,83,0.5783132530120482
203,46,74,0.6216216216216216
205,61,86,0.7093023255813954
207,56,69,0.8115942028985508
208,173,232,0.7456896551724138
300,13,26,0.5
301,79,136,0.5808823529411765
302,26,48,0.5416666666666666
303,48,74,0.6486486486486487
304,82,116,0.7068965517241379
305,14,18,0.7777777777777778
306,12,18,0.6666666666666666
307,11,17,0.6470588235294118
308,3,3,0.5
309,19,22,0.8636363636363636
310,5,8,0.5
311,19,19,1.0
312,5,5,0.5
